,Customer_id,pl_score,hl_score,cl_score,twl_score,cc_score
89,1007916,10,7,10,10,4
90,1007936,5,6,5,2,0
91,1007956,3,6,2,10,6
92,1008105,5,6,10,2,0
93,1008209,6,2,3,6,8
94,1008427,5,8,10,7,1
95,1008490,4,2,10,10,4
96,1008491,5,0,9,5,10
97,1008495,4,9,1,5,7
98,1008507,5,1,8,9,3
99,1008534,5,6,1,6,6
100,1008778,1,1,4,1,1
101,1008926,5,7,1,0,5
102,1008937,4,3,3,7,3
103,1009006,8,4,2,3,5
104,1009116,10,2,1,8,2
105,1009133,9,1,10,9,10
106,1009182,4,6,0,4,6
107,1009220,4,8,6,8,0
108,1009260,5,5,7,6,10
109,1009290,1,8,6,8,5
110,1009334,5,7,0,2,7
111,1009343,4,5,7,4,7
112,1009546,5,4,2,10,4
113,1009565,6,7,8,10,1
114,1009620,5,6,5,6,10
115,1009655,1,4,10,3,2
116,1009783,9,0,8,9,2
117,1009799,4,8,2,6,2
118,1009968,7,2,3,0,8
119,1010279,1,7,6,4,6
120,1010345,5,5,1,7,6
121,1010462,4,10,5,8,1
122,1010502,3,4,2,6,4
123,1010549,4,5,0,0,5
124,1010554,5,2,9,0,6
125,1010589,1,1,1,6,7
126,1010664,3,3,2,7,2
127,1010667,5,7,1,6,1
128,1010822,1,9,2,3,8
129,1010829,5,4,0,2,7
130,1010977,1,7,3,2,0
131,1011006,1,6,3,0,7
132,1011030,9,1,5,6,8
133,1011132,4,5,8,9,6
134,1011154,5,10,5,7,0
135,1011168,1,6,7,1,9
136,1011193,1,9,5,4,8
137,1011246,7,6,10,8,5
138,1011369,5,5,1,5,10
139,1011586,6,4,7,7,8
140,1011699,6,0,8,8,5
141,1011709,3,4,5,0,4
142,1011867,5,3,2,8,3
143,1011937,5,9,8,10,0
144,1011985,6,3,2,4,9
145,1012098,5,0,2,1,9
146,1012285,1,2,9,10,1
147,1012334,3,6,6,4,1
148,1012538,5,7,1,7,7
149,1012539,5,3,9,7,10
150,1012625,5,1,9,1,5
151,1012688,4,5,10,3,9
152,1012733,1,2,8,10,4
153,1012816,1,7,7,3,1
154,1012822,5,3,5,10,9
155,1012828,5,0,8,7,3
156,1012862,1,0,0,4,10
157,1012972,4,7,3,4,3
158,1013211,8,9,3,10,2
159,1013289,10,10,8,6,2
160,1013344,1,9,10,0,1
161,1013347,4,8,6,1,6
162,1013708,5,5,2,8,2
163,1013721,6,4,9,1,10
164,1013822,4,5,1,5,3
165,1013980,8,10,0,1,1
166,1014005,6,1,0,1,3
167,1014245,6,5,8,2,10
168,1014395,1,10,6,3,0
169,1014436,1,3,5,9,10
170,1014489,5,1,0,9,6
171,1014532,1,10,7,2,1
172,1014568,5,10,8,6,10
173,1014598,5,3,8,4,2
174,1014655,6,7,8,6,2
175,1014816,5,7,9,0,4
176,1015313,6,0,5,1,0
177,1015441,3,6,10,0,5
178,1015558,10,0,2,5,7
179,1015582,1,3,8,3,4
180,1015736,3,9,7,1,1
181,1015980,1,6,1,8,4
182,1016034,1,6,4,2,7
183,1016055,4,9,3,1,0
184,1016062,1,6,8,4,3
185,1016149,5,10,3,1,9
186,1016196,7,10,0,4,9
187,1016339,1,8,10,9,9
188,1016650,5,9,5,2,7
189,1016660,5,4,0,3,1
190,1016811,5,1,9,9,10
191,1016855,5,2,10,2,8
192,1016863,1,7,2,7,1
193,1016893,5,4,6,0,3
194,1017192,6,5,0,1,1
195,1017315,4,5,2,6,4
196,1017412,5,7,10,3,2
197,1017533,4,5,8,7,2
198,1017535,6,10,1,8,2
199,1017561,3,5,2,4,5
200,1017570,1,9,2,1,9
201,1017574,9,0,0,10,0
202,1017589,5,4,2,4,7
203,1017681,5,0,8,4,1
204,1017747,1,6,9,6,2
205,1017762,3,5,9,7,7
206,1017854,5,3,9,1,5
207,1017865,4,0,5,2,7
208,1018161,10,1,4,10,6
209,1018273,5,2,0,9,9
210,1018311,6,2,9,10,3
211,1018353,9,2,9,7,9
212,1018403,1,2,3,1,6
213,1018412,5,9,10,5,1
214,1018439,1,2,7,8,4
215,1018540,6,9,4,4,2
216,1018879,1,2,3,0,4
217,1019123,10,0,6,6,9
218,1019189,1,4,3,3,7
219,1019236,7,10,2,2,7
220,1019361,3,5,1,5,10
221,1019613,1,2,8,0,7
222,1019884,3,0,4,9,2
223,1019970,5,9,3,4,10
224,1020030,1,1,8,3,6
225,1020089,1,7,5,8,1
226,1020120,3,0,2,2,5
227,1020178,7,4,0,5,7
228,1020231,1,6,4,1,1
229,1020421,7,2,0,9,6
230,1020601,1,1,1,10,8
231,1020624,5,0,2,5,9
232,1020645,1,9,0,8,9
233,1020716,3,2,5,9,10
234,1020724,1,3,10,9,4
235,1020878,3,9,10,6,10
236,1020896,5,4,8,4,10
237,1021147,1,4,4,1,0
238,1021221,6,2,4,7,0
239,1021271,5,1,0,10,0
240,1021344,4,5,5,9,0
241,1021443,9,4,5,0,3
242,1021529,9,8,1,0,0
243,1021566,3,6,8,3,3
244,1021593,5,9,0,4,8
245,1021623,6,10,1,10,8
246,1021770,5,7,3,1,2
247,1021819,8,0,0,3,9
248,1021948,4,2,7,6,0
249,1022022,1,0,4,10,5
250,1022159,8,2,10,10,0
251,1022168,3,1,10,6,9
252,1022180,5,3,5,6,0
253,1022290,6,3,7,2,8
254,1022406,1,9,9,10,4
255,1022415,5,4,1,2,9
256,1022424,4,0,4,10,8
257,1022477,5,4,10,2,10
258,1022838,5,9,2,3,6
259,1022890,3,0,10,4,0
260,1022958,5,2,6,8,10
261,1022997,5,2,6,9,5
262,1023023,3,1,2,5,10
263,1023091,1,4,5,10,0
264,1023099,6,6,5,8,4
265,1023191,3,7,8,5,9
266,1023254,1,9,4,2,8
267,1023257,1,0,7,5,6
268,1023320,4,2,0,5,9
269,1023380,8,6,5,6,1
270,1023515,6,1,4,0,2
271,1023672,1,5,8,10,9
272,1023984,1,2,7,6,8
273,1024013,1,4,3,2,0
274,1024067,7,5,5,3,9
275,1024074,4,0,0,10,4
276,1024078,8,6,5,8,9
277,1024296,6,0,5,5,8
278,1024368,10,6,8,0,4
279,1024399,3,3,10,6,0
280,1024462,5,10,2,5,6
281,1024573,4,2,8,6,7
282,1024658,6,2,1,3,9
283,1025189,10,0,6,0,0
284,1025228,5,5,2,1,8
285,1025401,3,3,6,10,0
286,1025498,5,4,5,7,2
287,1025588,4,9,8,7,10
288,1025644,5,10,5,4,8
289,1025684,1,5,9,7,4
290,1025796,5,9,3,7,6
291,1025854,1,9,2,8,7
292,1025863,4,1,10,2,1
293,1026044,5,7,7,3,7
294,1026084,7,10,10,5,3
295,1026306,5,7,10,10,4
296,1026322,1,2,5,9,10
297,1026428,6,1,3,4,3
298,1026623,3,5,9,6,9
299,1026664,4,5,5,6,1
300,1026866,5,8,9,0,1
301,1026906,6,1,9,1,4
302,1027135,4,7,2,5,1
303,1027366,5,5,0,2,9
304,1027626,5,9,2,3,8
305,1027659,1,10,10,1,9
306,1027690,5,10,9,3,3
307,1027770,4,8,9,10,9
308,1027776,4,1,2,7,6
309,1027826,1,0,10,9,6
310,1027834,5,6,3,2,0
311,1028170,1,0,5,1,10
312,1028212,4,7,7,10,6
313,1028220,6,2,10,0,2
314,1028319,7,7,8,8,10
315,1028431,3,6,5,4,7
316,1028490,4,2,1,1,3
317,1028520,6,7,8,0,8
318,1028717,3,1,9,5,4
319,1028999,6,10,2,1,9
320,1029045,5,8,0,7,10
321,1029292,5,5,8,7,5
322,1029372,3,3,10,1,1
323,1029570,1,7,6,7,2
324,1029870,3,0,4,4,9
325,1029934,7,2,8,0,0
326,1030006,3,6,5,9,7
327,1030094,5,4,2,9,2
328,1030315,5,3,7,7,10
329,1030743,5,7,0,5,10
330,1030819,3,0,7,3,10
331,1030958,1,7,6,3,6
332,1031020,1,9,4,1,7
333,1031069,6,4,5,2,6
334,1031078,4,3,5,9,0
335,1031119,7,2,6,9,7
336,1031304,10,10,1,5,5
337,1031551,4,4,0,6,2
338,1031647,5,0,3,0,1
339,1031716,4,7,6,3,9
340,1031771,8,2,8,6,7
341,1031809,7,10,5,9,9
342,1031905,6,6,9,4,5
343,1032123,5,0,8,7,1
344,1032146,6,8,0,5,6
345,1032247,1,8,9,5,10
346,1032293,6,0,8,3,4
347,1032323,5,9,7,7,9
348,1032347,1,2,0,10,1
349,1032486,5,0,2,10,8
350,1032647,1,7,10,6,1
351,1032663,5,7,7,0,1
352,1032691,1,6,9,0,9
353,1032752,4,1,9,5,0
354,1032878,1,2,1,10,10
355,1032910,6,0,5,5,10
356,1032998,10,1,1,6,1
357,1033116,4,9,1,4,7
358,1033243,4,7,4,2,3
359,1033458,6,9,4,0,10
360,1033534,6,7,3,7,7
361,1033549,5,6,4,2,10
362,1033571,3,4,6,4,8
363,1033574,6,10,9,3,5
364,1033623,3,2,8,8,8
365,1033667,5,8,1,8,2
366,1034030,1,4,0,10,6
367,1034073,1,10,9,5,10
368,1034099,5,1,6,7,6
369,1034257,10,8,8,4,10
370,1034297,1,7,8,8,5
371,1034301,1,6,10,9,10
372,1034359,3,10,2,6,3
373,1034567,8,8,5,2,10
374,1034613,1,8,10,4,3
375,1034692,4,3,4,2,8
376,1034918,4,10,3,5,7
377,1034940,9,6,7,10,10
378,1035035,8,1,6,9,7
379,1035040,1,4,10,9,7
380,1035095,5,0,3,7,1
381,1035146,4,6,1,8,7
382,1035398,1,10,9,8,9
383,1035668,5,1,6,6,9
384,1035717,3,0,1,1,1
385,1035954,1,8,10,1,1
386,1036123,4,9,3,4,8
387,1036331,1,5,8,1,4
388,1036343,5,4,4,3,6
389,1036395,1,10,0,7,2
390,1036532,4,3,4,7,7
391,1036566,5,1,6,3,3
392,1036780,4,10,10,4,2
393,1036952,4,10,0,6,6
394,1037068,5,0,5,0,2
395,1037147,1,1,4,1,6
396,1037166,3,8,3,0,0
397,1037302,3,4,5,2,4
398,1037599,6,4,7,0,1
399,1037959,5,7,1,10,7
400,1038074,3,1,9,10,10
401,1038082,8,7,1,3,0
402,1038098,3,3,6,10,7
403,1038228,5,9,4,10,2
404,1038238,1,2,3,8,7
405,1038601,1,2,2,3,10
406,1038635,1,10,10,9,3
407,1038643,5,4,2,0,0
408,1038732,6,8,2,8,5
409,1038789,6,2,6,10,3
410,1038967,5,8,9,9,9
411,1039033,5,6,6,4,0
412,1039221,9,3,6,1,7
413,1039228,1,7,10,7,0
414,1039255,3,6,10,0,5
415,1039304,3,0,8,5,7
416,1039308,5,10,7,8,8
417,1039446,1,9,3,4,6
418,1039536,4,9,6,0,4
419,1039544,6,8,3,4,3
420,1039610,1,1,10,6,7
421,1039740,5,2,5,9,7
422,1039805,1,2,3,7,2
423,1039813,3,5,5,4,8
424,1039844,5,6,2,9,3
425,1040068,5,6,4,2,8
426,1040089,4,4,5,8,2
427,1040093,5,5,6,0,4
428,1040268,8,3,4,10,4
429,1040286,1,1,3,7,0
430,1040294,7,4,2,4,10
431,1040300,7,6,10,1,7
432,1040346,1,10,2,10,6
433,1040388,4,1,10,8,5
434,1040440,9,1,9,1,6
435,1040441,5,7,0,9,7
436,1040497,1,2,7,0,6
437,1040563,1,10,5,10,7
438,1040726,6,8,10,4,0
439,1040813,6,1,4,4,5
440,1040879,5,6,2,8,1
441,1041105,4,0,2,10,8
442,1041259,6,5,1,6,0
443,1041277,3,3,1,6,5
444,1041380,5,1,3,2,0
445,1041495,3,4,4,2,4
446,1041636,9,7,2,1,5
447,1041683,1,10,2,10,4
448,1042059,4,6,8,10,1
449,1042145,5,9,9,5,3
450,1042158,4,10,4,7,8
451,1042193,1,9,8,4,6
452,1042463,4,7,1,3,4
453,1042483,5,5,0,2,1
454,1042516,5,1,0,4,9
455,1042553,1,1,0,1,1
456,1042638,8,0,8,5,7
457,1043038,3,4,2,3,5
458,1043118,1,2,9,0,10
459,1043172,5,5,2,2,1
460,1043204,1,8,6,8,4
461,1043220,5,5,4,10,5
462,1043375,4,3,2,9,1
463,1043411,10,2,1,4,2
464,1043469,5,6,7,5,5
465,1043554,6,8,8,9,9
466,1043629,5,10,10,1,7
467,1043815,4,2,3,3,2
468,1043892,5,10,2,6,4
469,1043973,8,9,7,2,1
470,1043991,3,1,2,1,7
471,1044060,3,4,0,6,5
472,1044070,1,9,9,2,3
473,1044093,6,2,8,10,1
474,1044122,5,5,4,1,10
475,1044465,3,4,0,10,3
476,1044578,1,9,2,7,1
477,1044684,5,7,5,3,9
478,1044798,9,8,10,3,9
479,1044875,1,0,7,9,3
480,1044906,1,1,4,2,6
481,1044919,5,7,7,10,2
482,1044948,4,10,5,1,0
483,1044999,3,3,9,2,3
484,1045046,3,6,4,6,6
485,1045093,1,9,3,7,4
486,1045103,1,6,0,9,0
487,1045174,10,6,0,4,10
488,1045627,10,5,5,9,2
489,1045734,3,7,9,0,1
490,1045850,1,10,5,2,5
491,1045987,5,4,6,1,3
492,1046032,5,4,8,9,10
493,1046228,5,6,10,8,10
494,1046247,6,8,7,7,6
495,1046275,3,3,10,7,10
496,1046333,1,9,1,3,8
497,1046431,10,10,6,2,7
498,1046504,6,4,8,7,2
499,1046506,9,9,4,8,7
500,1046555,9,9,9,1,7
501,1046603,3,9,0,2,8
502,1046606,3,3,10,9,6
503,1046621,6,4,5,0,9
504,1046661,3,0,2,3,1
505,1046681,5,8,10,8,2
506,1046908,1,6,4,8,10
507,1046956,4,4,1,10,0
508,1046966,6,1,4,2,2
509,1047168,3,9,4,5,2
510,1047186,1,0,5,7,9
511,1047406,5,2,2,10,6
512,1047476,5,5,4,4,8
513,1047500,4,7,3,7,10
514,1047509,6,7,6,2,5
515,1047523,6,7,3,0,5
516,1047742,5,0,9,9,9
517,1047887,5,4,6,1,9
518,1048217,6,8,0,5,7
519,1048494,1,10,3,9,5
520,1048511,5,8,4,10,4
521,1048702,9,10,6,10,4
522,1048764,5,7,5,10,6
523,1048859,4,1,1,0,7
524,1049097,9,0,8,5,8
525,1049198,1,8,5,7,9
526,1049485,1,5,10,7,6
527,1049786,5,5,4,1,9
528,1049815,1,0,10,4,7
529,1049891,4,6,8,4,2
530,1049913,5,5,3,2,2
531,1050003,3,8,2,6,9
532,1050008,10,9,7,9,4
533,1050014,5,4,5,8,0
534,1050037,6,9,4,2,7
535,1050038,1,5,3,7,3
536,1050111,10,0,5,1,6
537,1050206,5,0,9,7,10
538,1050316,1,2,1,5,2
539,1050418,3,6,0,5,3
540,1050456,5,9,0,0,3
541,1050465,1,3,9,2,2
542,1050568,1,3,3,10,10
543,1050624,6,2,8,8,2
544,1050718,1,5,10,7,0
545,1051025,5,10,5,2,3
546,1051092,1,3,1,1,9
547,1051107,5,3,2,6,1
548,1051111,1,4,9,0,7
549,1051215,6,4,0,3,6
550,1051328,6,7,3,7,2
551,1051663,1,3,2,2,9
552,1051687,5,3,3,7,0
553,1051810,6,1,8,7,1
554,1051919,4,2,1,5,10
555,1051952,10,2,10,3,5
556,1052100,3,8,10,8,9
557,1052190,5,8,8,6,9
558,1052390,9,10,4,2,10
559,1052414,5,3,1,6,1
560,1052470,6,7,10,8,10
561,1052588,9,7,6,10,9
562,1052979,6,5,8,5,4
563,1052991,1,5,2,4,0
564,1053022,4,0,0,2,10
565,1053101,4,10,9,1,6
566,1053152,1,2,4,8,9
567,1053169,5,9,9,7,10
568,1053188,3,1,3,0,0
569,1053195,1,2,1,9,10
570,1053315,4,0,9,8,6
571,1053316,5,8,10,2,8
572,1053420,6,9,10,1,10
573,1053541,5,8,0,3,4
574,1053832,5,9,5,7,10
575,1054046,1,7,2,4,5
576,1054365,4,10,3,7,4
577,1054407,5,6,6,6,5
578,1054503,5,7,1,2,1
579,1054606,8,8,5,9,8
580,1054761,5,2,6,5,10
581,1054784,1,1,8,2,10
582,1054791,7,5,5,0,0
583,1054811,10,9,6,7,7
584,1054836,3,8,5,4,2
585,1054845,5,4,6,5,7
586,1054860,1,6,2,6,5
587,1054861,4,10,9,2,3
588,1054862,3,10,10,10,2
589,1054964,1,9,4,1,0
590,1054984,8,6,0,8,1
591,1055038,1,9,2,1,7
592,1055043,5,2,2,6,8
593,1055049,4,5,5,2,4
594,1055074,1,2,7,6,5
595,1055203,1,1,6,10,9
596,1055375,5,3,10,5,8
597,1055473,5,10,6,3,7
598,1055628,4,0,9,9,5
599,1055683,3,3,10,10,3
600,1055695,1,8,9,9,0
601,1055803,3,4,9,8,2
602,1055854,4,3,9,4,3
603,1055916,1,6,3,0,2
604,1056071,6,8,1,4,4
605,1056146,5,5,2,10,6
606,1056205,5,5,10,3,6
607,1056215,1,2,10,2,3
608,1056223,5,1,10,3,4
609,1056262,5,5,4,5,6
610,1056285,6,6,9,9,4
611,1056749,4,5,8,5,2
612,1056768,5,7,0,4,1
613,1056789,9,7,5,7,5
614,1056811,1,7,7,4,10
615,1056902,7,7,7,3,3
616,1056957,9,6,1,5,5
617,1057000,5,5,8,4,7
618,1057001,8,4,1,1,5
619,1057116,1,1,0,10,8
620,1057151,4,7,10,1,4
621,1057162,3,0,8,1,1
622,1057212,5,5,6,6,6
623,1057388,4,6,5,4,9
624,1057403,1,4,2,9,10
625,1057474,6,5,5,3,3
626,1057612,1,6,3,7,4
627,1057693,6,5,2,7,3
628,1057882,10,7,5,1,3
629,1057893,7,9,7,8,6
630,1057976,4,1,9,10,7
631,1058005,5,0,2,8,8
632,1058043,5,0,8,8,6
633,1058077,1,5,5,10,2
634,1058087,3,0,9,3,3
635,1058317,9,10,7,0,0
636,1058380,1,0,3,9,8
637,1058382,1,6,7,8,9
638,1058465,5,8,5,0,3
639,1058526,1,2,8,5,3
640,1058641,5,2,8,5,3
641,1059014,10,10,4,6,4
642,1059053,6,7,2,3,9
643,1059142,7,7,6,5,6
644,1059189,5,5,5,0,8
645,1059384,4,0,0,2,6
646,1059422,1,2,4,2,2
647,1059840,1,1,8,6,6
648,1059854,1,2,9,7,6
649,1059904,1,9,5,4,6
650,1059943,1,5,8,10,1
651,1060131,8,6,0,0,0
652,1060140,5,9,4,0,1
653,1060632,5,0,1,6,4
654,1060644,1,10,2,0,5
655,1060795,1,8,4,2,6
656,1060855,5,10,1,4,3
657,1060860,1,0,10,10,10
658,1060865,5,3,6,6,2
659,1060974,7,0,4,8,0
660,1061048,10,6,10,6,2
661,1061052,5,1,6,5,1
662,1061055,6,10,6,5,10
663,1061170,5,6,1,9,7
664,1061327,1,8,9,3,2
665,1061392,7,3,0,2,4
666,1061485,5,0,7,8,5
667,1061616,4,8,5,0,5
668,1062001,1,6,7,3,5
669,1062185,4,7,5,3,3
670,1062485,4,4,7,4,2
671,1062567,3,3,9,1,3
672,1062674,6,4,2,2,9
673,1062731,5,5,3,10,8
674,1062809,6,4,4,10,5
675,1062819,4,0,4,3,5
676,1062962,1,2,4,1,6
677,1063015,1,5,10,3,1
678,1063024,5,1,5,8,10
679,1063158,3,6,2,5,2
680,1063166,10,8,9,2,9
681,1063266,4,6,1,0,5
682,1063327,5,0,3,4,9
683,1063332,5,3,3,4,1
684,1063455,1,3,10,7,0
685,1063491,6,4,3,10,5
686,1063683,4,2,8,1,10
687,1063714,3,10,7,2,8
688,1063871,1,10,6,6,0
689,1063878,5,9,2,3,6
690,1063908,3,5,10,1,4
691,1063935,1,10,4,1,8
692,1064124,1,0,8,3,10
693,1064151,1,6,9,4,10
694,1064251,4,8,6,5,8
695,1064312,3,9,5,5,9
696,1064444,4,3,5,4,0
697,1064666,5,8,4,4,7
698,1064808,1,6,3,8,1
699,1064893,1,10,2,2,9
700,1065069,1,0,0,2,6
701,1065147,1,6,2,9,4
702,1065246,5,9,5,10,9
703,1065384,1,8,10,8,5
704,1065739,8,7,1,0,0
705,1065808,6,9,0,2,5
706,1065886,5,2,2,8,4
707,1065913,1,3,8,3,4
708,1066103,4,9,10,5,2
709,1066109,1,6,1,8,10
710,1066223,3,4,5,2,7
711,1066267,6,9,4,4,7
712,1066371,5,7,1,7,5
713,1066457,3,8,2,0,2
714,1066585,10,9,3,0,6
715,1066708,5,6,8,5,2
716,1066899,4,2,7,5,0
717,1066930,1,4,4,1,8
718,1067103,5,6,2,5,3
719,1067113,3,9,7,4,8
720,1067231,10,1,5,8,10
721,1067472,9,1,8,8,2
722,1067574,4,2,0,2,9
723,1067793,1,0,7,3,0
724,1067797,5,4,7,8,10
725,1067867,5,2,3,0,10
726,1067885,6,5,2,2,4
727,1067895,1,10,4,1,0
728,1067900,5,1,2,10,6
729,1068058,10,8,6,8,6
730,1068094,8,2,8,8,8
731,1068131,1,3,9,0,0
732,1068282,5,3,9,9,6
733,1068320,1,8,0,6,10
734,1068326,5,7,10,4,9
735,1068354,4,0,2,0,7
736,1068413,1,5,7,9,3
737,1068424,5,0,6,1,9
738,1068723,1,0,8,4,2
739,1068742,5,8,2,8,8
740,1068760,5,10,8,2,10
741,1068853,6,9,5,0,9
742,1069018,4,6,1,9,10
743,1069200,3,1,4,2,5
744,1069257,4,1,5,5,9
745,1069415,1,10,9,0,5
746,1069455,9,1,1,0,9
747,1069490,5,2,9,3,0
748,1069505,1,10,2,5,8
749,1069599,3,9,7,3,4
750,1069867,10,6,9,4,7
751,1069921,7,4,8,9,1
752,1070117,6,5,0,10,8
753,1070239,1,8,4,10,5
754,1070368,3,1,1,7,6
755,1070378,6,3,7,9,10
756,1070407,1,6,3,4,8
757,1070434,1,1,0,2,2
758,1070525,3,7,9,6,4
759,1070607,3,1,3,6,3
760,1070648,1,5,5,4,5
761,1070698,3,9,1,4,7
762,1070724,6,10,3,7,0
763,1070829,5,3,6,4,9
764,1070850,8,1,6,10,8
765,1071080,9,4,7,0,10
766,1071238,3,5,8,2,9
767,1071270,1,2,7,7,5
768,1071411,4,3,5,10,9
769,1071414,5,2,8,1,2
770,1071674,4,4,8,3,0
771,1071716,4,10,5,4,2
772,1071755,6,5,10,10,3
773,1071796,5,9,4,1,8
774,1071849,1,8,1,9,10
775,1071852,3,8,2,7,0
776,1072022,1,3,0,8,2
777,1072092,8,3,10,0,0
778,1072106,1,4,9,6,6
779,1072178,1,7,4,2,10
780,1072300,10,5,8,2,9
781,1072320,3,2,5,0,5
782,1072383,5,6,9,10,1
783,1072407,6,2,0,0,1
784,1072619,10,1,1,9,5
785,1072698,6,6,7,5,9
786,1072785,6,2,6,10,0
787,1072922,5,4,0,8,10
788,1072923,5,8,7,9,2
789,1073043,6,8,5,6,10
790,1073092,4,5,1,8,0
791,1073200,5,3,2,1,4
792,1073327,1,3,5,5,2
793,1073381,5,8,7,5,3
794,1073417,1,7,8,1,4
795,1073457,5,2,6,7,2
796,1073553,9,7,10,10,2
797,1073596,1,7,8,3,8
798,1073631,4,6,2,10,5
799,1073728,1,1,1,9,1
800,1073887,6,1,6,1,7
801,1073938,6,1,8,2,4
802,1073992,10,6,7,7,4
803,1074005,5,6,5,4,6
804,1074088,4,6,8,2,7
805,1074117,4,10,9,7,4
806,1074310,4,0,0,8,10
807,1074313,5,0,3,5,2
808,1074456,5,8,10,7,8
809,1074466,1,6,5,8,0
810,1074585,1,4,10,10,6
811,1074716,5,2,1,7,0
812,1074732,6,5,6,1,10
813,1074743,4,9,0,10,4
814,1074782,1,0,1,10,1
815,1074789,3,2,5,3,8
816,1074835,10,7,7,4,1
817,1074843,1,6,4,8,10
818,1074876,5,10,2,8,8
819,1075020,4,7,4,4,4
820,1075042,5,9,6,3,7
821,1075122,7,8,7,0,7
822,1075577,5,5,10,10,4
823,1075629,1,2,4,5,5
824,1075692,6,6,10,9,8
825,1075781,10,5,7,3,9
826,1075800,5,1,5,7,5
827,1075801,4,8,3,5,0
828,1075816,10,3,6,8,0
829,1075917,7,1,6,9,6
830,1076019,10,7,10,10,8
831,1076059,1,10,8,10,1
832,1076092,6,3,1,0,5
833,1076168,1,1,8,3,2
834,1076169,1,9,8,0,0
835,1076209,5,4,8,7,0
836,1076454,1,7,0,10,5
837,1076647,1,2,8,10,7
838,1076681,5,4,10,6,2
839,1076829,5,3,9,7,2
840,1076894,5,8,3,9,6
841,1076999,5,5,8,5,3
842,1077135,4,5,4,9,2
843,1077162,8,6,2,9,8
844,1077340,5,1,4,10,5
845,1077614,8,4,2,2,2
846,1077624,1,1,5,4,3
847,1077692,1,6,4,9,2
848,1078356,4,5,8,0,3
849,1078694,4,1,1,0,4
850,1078743,5,4,6,2,2
851,1078858,5,2,0,10,2
852,1078909,5,5,10,1,8
853,1078952,1,1,8,2,5
854,1078983,1,1,0,10,1
855,1079046,3,6,5,10,3
856,1079119,1,3,5,1,0
857,1079193,1,4,6,8,2
858,1079250,4,9,9,3,0
859,1079339,4,10,8,6,6
860,1079368,4,6,9,1,7
861,1079456,1,8,4,6,6
862,1079472,5,0,6,7,4
863,1079500,5,7,3,2,7
864,1079509,1,2,5,4,7
865,1079698,6,6,0,0,10
866,1079716,1,5,6,0,0
867,1079760,5,4,5,10,8
868,1080012,5,3,6,4,1
869,1080036,1,9,2,2,6
870,1080075,5,4,7,9,4
