Age,Income,Expences,Gender,Company,Loan
54,3043000,1856230,M,Rank 2,Accepted
39,1930000,1215900,M,Rank 1,Accepted
52,3091000,2132790,M,Rank 1,Accepted
49,2740000,1863200,M,Rank 1,Accepted
34,1356000,1044120,M,Rank 2,Accepted
45,2537000,1598310,M,Rank 1,Accepted
50,2913000,2184750,M,Rank 1,Accepted
35,1651000,1271270,M,Rank 1,Accepted
58,3018000,1901340,M,Rank 1,Accepted
56,3391000,2339790,M,Rank 1,Accepted
58,2978000,1905920,M,Rank 1,Accepted
59,2822000,1834300,M,Rank 3,Accepted
37,1717000,1339260,M,Rank 2,Accepted
59,2817000,2000070,M,Rank 2,Accepted
50,3350000,2144000,M,Rank 1,Accepted
50,3387000,2066070,M,Rank 1,Accepted
58,3259000,2118350,M,Rank 1,Accepted
36,1688000,1299760,M,Rank 1,Accepted
50,3063000,2297250,M,Rank 1,Accepted
43,2063000,1361580,M,Rank 1,Accepted
61,2932000,1817840,M,Rank 2,Accepted
48,2573000,1826830,M,Rank 1,Accepted
55,3008000,2165760,M,Rank 1,Accepted
35,1723000,1326710,M,Rank 1,Accepted
39,1948000,1305160,M,Rank 1,Accepted
43,1818000,1218060,M,Rank 1,Accepted
29,809000,655290,M,Rank 3,Accepted
35,1714000,1302640,M,Rank 2,Accepted
41,2234000,1452100,M,Rank 1,Accepted
40,1852000,1277880,M,Rank 1,Accepted
30,762000,632460,M,Rank 2,Accepted
32,1549000,1192730,M,Rank 3,Accepted
36,1457000,1121890,M,Rank 2,Accepted
44,2871000,2153250,M,Rank 1,Accepted
49,2519000,1838870,M,Rank 2,Accepted
27,950000,779000,M,Rank 2,Accepted
34,1608000,1222080,M,Rank 1,Accepted
59,2783000,1920270,M,Rank 1,Accepted
40,1928000,1349600,M,Rank 1,Accepted
28,983000,835550,M,Rank 2,Accepted
61,3144000,2326560,M,Rank 1,Accepted
43,2412000,1591920,M,Rank 3,Accepted
30,1056000,887040,M,Rank 2,Accepted
40,1963000,1472250,M,Rank 1,Accepted
32,1581000,1248990,M,Rank 1,Accepted
54,3339000,2437470,M,Rank 1,Accepted
43,2425000,1600500,M,Rank 2,Accepted
32,1634000,1290860,M,Rank 1,Accepted
40,2401000,1728720,M,Rank 2,Accepted
27,745000,625800,M,Rank 2,Accepted
34,1631000,1255870,M,Rank 1,Accepted
28,769000,638270,M,Rank 2,Accepted
58,2781000,2085750,M,Rank 2,Accepted
30,1027000,872950,M,Rank 2,Accepted
34,1206000,952740,M,Rank 2,Accepted
41,2089000,1399630,M,Rank 1,Accepted
38,2332000,1632400,M,Rank 1,Accepted
56,3350000,2345000,M,Rank 1,Accepted
55,2986000,1821460,M,Rank 1,Accepted
45,2731000,1747840,M,Rank 2,Accepted
27,885000,752250,M,Rank 2,Accepted
54,3137000,2290010,M,Rank 1,Accepted
40,1801000,1098610,M,Rank 1,Accepted
33,1544000,1173440,M,Rank 1,Accepted
27,1054000,895900,M,Rank 2,Accepted
46,2642000,1796560,M,Rank 2,Accepted
49,2742000,1672620,M,Rank 1,Accepted
61,3047000,2254780,M,Rank 1,Accepted
59,3243000,2432250,M,Rank 2,Accepted
31,949000,768690,M,Rank 3,Accepted
51,3026000,1876120,M,Rank 2,Accepted
30,1059000,889560,M,Rank 2,Accepted
42,2200000,1386000,M,Rank 3,Accepted
31,815000,676450,M,Rank 2,Accepted
60,3091000,1916420,M,Rank 3,Accepted
55,2970000,1960200,M,Rank 1,Accepted
44,2820000,2058600,M,Rank 2,Accepted
25,667000,566950,M,Rank 2,Accepted
26,865000,726600,M,Rank 2,Accepted
35,1455000,1120350,M,Rank 2,Accepted
36,1248000,973440,M,Rank 2,Accepted
33,1794000,1381380,M,Rank 3,Accepted
47,2867000,1777540,M,Rank 1,Accepted
44,2814000,1913520,M,Rank 2,Accepted
43,2136000,1345680,M,Rank 2,Accepted
34,1444000,1097440,M,Rank 2,Accepted
33,1745000,1361100,M,Rank 1,Accepted
25,390000,315900,M,Rank 2,Accepted
56,3200000,2112000,M,Rank 1,Accepted
37,1750000,1347500,M,Rank 2,Accepted
39,2458000,1646860,M,Rank 1,Accepted
29,706000,585980,M,Rank 2,Accepted
50,3304000,2279760,M,Rank 1,Accepted
25,468000,393120,M,Rank 3,Accepted
58,2612000,1697800,M,Rank 1,Accepted
43,2038000,1263560,M,Rank 1,Accepted
50,3124000,1999360,M,Rank 2,Accepted
32,1387000,1081860,M,Rank 2,Accepted
34,1445000,1127100,M,Rank 3,Accepted
30,835000,693050,M,Rank 2,Accepted
48,2809000,1966300,M,Rank 1,Accepted
54,3192000,2298240,M,Rank 1,Accepted
56,3329000,2030690,M,Rank 1,Accepted
32,1335000,1027950,M,Rank 2,Accepted
34,1213000,921880,M,Rank 2,Accepted
43,1930000,1254500,M,Rank 1,Accepted
27,721000,591220,M,Rank 2,Accepted
58,2640000,1716000,M,Rank 3,Accepted
37,1225000,943250,M,Rank 2,Accepted
25,312000,265200,M,Rank 2,Accepted
50,3326000,2427980,M,Rank 1,Accepted
47,2683000,1770780,M,Rank 1,Accepted
39,2089000,1524970,M,Rank 1,Accepted
33,1430000,1115400,M,Rank 2,Accepted
38,2457000,1695330,M,Rank 1,Accepted
25,637000,541450,M,Rank 2,Accepted
54,3023000,1934720,M,Rank 1,Accepted
42,2044000,1451240,M,Rank 1,Accepted
58,3169000,2059850,M,Rank 1,Accepted
42,2019000,1352730,M,Rank 1,Accepted
29,1097000,921480,M,Rank 2,Accepted
60,3259000,2313890,M,Rank 2,Accepted
41,2451000,1544130,M,Rank 1,Accepted
42,1912000,1185440,M,Rank 1,Accepted
34,1120000,851200,M,Rank 2,Accepted
28,976000,810080,M,Rank 2,Accepted
41,2410000,1687000,M,Rank 2,Accepted
33,1406000,1068560,M,Rank 2,Accepted
57,3318000,2488500,M,Rank 2,Accepted
57,3002000,2161440,M,Rank 1,Accepted
31,794000,666960,M,Rank 2,Accepted
26,838000,678780,M,Rank 2,Accepted
53,3364000,2523000,M,Rank 2,Accepted
50,3162000,2213400,M,Rank 3,Accepted
28,852000,698640,M,Rank 2,Accepted
48,2809000,1713490,M,Rank 1,Accepted
48,2604000,1744680,M,Rank 2,Accepted
57,2735000,1887150,M,Rank 2,Accepted
